SUDT ACCESSPORT LOG FILE - Monitor mode

监控: COM9 COM10
创建时间: 2026-04-04, 22:25:33
计算机名: 黑妹
系统版本:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

38	22:22:01.425	0.00000050	ModSim32.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM9	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 2048, XoffLimit: 512	
39	22:22:01.425	0.00000170	ModSim32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM9	SUCCESS	Mask: RXCHAR	
40	22:22:01.425	0.65025970	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
41	22:22:02.076	0.00001840	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
42	22:22:02.076	0.00000160	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
43	22:22:02.076	0.00003140	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
44	22:22:02.076	0.00000360	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
45	22:22:02.076	0.00000210	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
46	22:22:02.076	2.00039050	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
47	22:22:02.076	0.00000350	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
48	22:22:02.077	0.00000740	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
49	22:22:02.077	2.74879880	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
50	22:22:02.136	0.00001320	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
51	22:22:02.237	0.00003540	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
52	22:22:02.338	0.00002270	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
53	22:22:02.338	0.00000340	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
54	22:22:04.327	0.00001230	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
55	22:22:04.826	0.00000840	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
56	22:22:04.826	0.00001930	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
57	22:22:04.826	0.00000330	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
58	22:22:04.826	0.00000130	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
59	22:22:04.826	1.99948590	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
60	22:22:04.826	0.00000150	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
61	22:22:04.828	0.00000320	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
62	22:22:04.829	2.99410880	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
63	22:22:04.887	0.00000830	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
64	22:22:04.988	0.00001400	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
65	22:22:05.088	0.00000760	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
66	22:22:05.088	0.00000150	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
67	22:22:07.076	0.00042700	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
68	22:22:07.823	0.00000970	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
69	22:22:07.823	0.00002510	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
70	22:22:07.823	0.00000280	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
71	22:22:07.823	0.00000160	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
72	22:22:07.823	1.99995560	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
73	22:22:07.823	0.00000270	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
74	22:22:07.824	0.00000500	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
75	22:22:07.824	2.25001830	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
76	22:22:07.887	0.00001080	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
77	22:22:07.988	0.00001250	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
78	22:22:08.089	0.00000920	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
79	22:22:08.089	0.00000140	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
80	22:22:10.074	0.00001260	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
81	22:22:10.074	0.00000080	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
82	22:22:10.074	0.00002360	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
83	22:22:10.074	0.00000220	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
84	22:22:10.074	0.00000120	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
85	22:22:10.074	2.00018790	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
86	22:22:10.074	0.00000220	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
87	22:22:10.074	0.00000320	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
88	22:22:10.074	2.75454420	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
89	22:22:10.136	0.00001280	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
90	22:22:10.237	0.00001340	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
91	22:22:10.337	0.00003670	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
92	22:22:10.337	0.00000160	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
93	22:22:12.325	0.00001480	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
94	22:22:12.828	0.00058940	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
95	22:22:12.829	0.00004650	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
96	22:22:12.829	0.00002550	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
97	22:22:12.829	0.00003540	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
98	22:22:12.829	2.99353510	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
99	22:22:12.829	0.00003790	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
100	22:22:12.829	0.00002210	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
101	22:22:12.829	1.99922290	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
102	22:22:12.888	0.00000840	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
103	22:22:12.989	0.00062440	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
104	22:22:13.092	0.00118440	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
105	22:22:13.094	0.00002880	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
106	22:22:15.081	0.00002380	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
107	22:22:15.823	0.00002870	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
108	22:22:15.823	0.00004060	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
109	22:22:15.823	0.00015560	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
110	22:22:15.823	0.00000370	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
111	22:22:15.823	1.99934750	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
112	22:22:15.824	0.00011340	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
113	22:22:15.824	0.00001490	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
114	22:22:15.829	2.24402840	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
115	22:22:15.885	0.00001870	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
116	22:22:15.986	0.00003570	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
117	22:22:16.088	0.00001820	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
118	22:22:16.088	0.00000340	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
119	22:22:18.074	0.00000890	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
120	22:22:18.074	0.00000060	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
121	22:22:18.074	0.00001250	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
122	22:22:18.074	0.00000100	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
123	22:22:18.074	0.00000140	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
124	22:22:18.074	0.00000080	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
125	22:22:18.074	2.00088310	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
126	22:22:18.074	0.00000830	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
127	22:22:18.075	2.74772110	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
128	22:22:18.137	0.00000830	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
129	22:22:18.237	0.00001460	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
